Loan Sanction Amount (USD),Gender,Age,Income (USD),Income Stability,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Co-Applicant
78968.27,F,43,2286.84,Low,Semi-Urban,121489.65,394.3,2,664.83,0,Unpossessed,1
116034.04,F,35,2997.47,Low,Semi-Urban,145042.55,707.83,1,806.74,0,Active,1
51888.12,F,47,2013.67,Low,Semi-Urban,79827.88,391.51,3,736.13,0,Active,1
26382.7,M,60,921.41,NA,Semi-Urban,35176.93,195.46,NA,NA,0,Unpossessed,1
49683.21,M,29,2146.96,Low,Semi-Urban,66244.28,349.56,2,774.98,1,Active,1
57827.12,F,54,NA,Low,Urban,77102.82,340.81,2,872.27,0,Unpossessed,1
159352.36,F,32,8060.47,Low,Semi-Urban,212469.81,632.05,1,807.7,1,NA,1
175859.19,M,30,3276.53,Low,Urban,251227.41,930.62,2,745.54,0,Inactive,1
67069.88,M,24,2761.61,Low,Semi-Urban,95814.11,307.9,2,798.3,0,Inactive,1
76683.9,M,60,NA,High,Semi-Urban,109548.43,330.99,2,832.61,0,Active,0
43907,M,18,NA,Low,Semi-Urban,67549.23,452.6,2,NA,0,Inactive,1
204492.11,M,53,2283.59,Low,Rural,272656.15,760.61,3,767,0,Inactive,1
49045.24,F,18,1563.16,Low,Semi-Urban,75454.21,454.84,2,742.23,0,Active,1
24967.82,F,36,NA,Low,Rural,38412.03,187.79,4,710.19,0,Active,1
27486.88,M,40,1717.98,NA,Semi-Urban,42287.5,187.55,2,NA,0,Unpossessed,1
74067.58,F,33,NA,NA,Semi-Urban,98756.77,509.53,2,751.3,1,Inactive,1
63211.29,M,40,2650.64,Low,Rural,79014.11,391.06,4,785.91,0,Inactive,1
18362.57,M,18,3266.94,Low,Rural,26232.24,187.33,4,740.31,0,Unpossessed,1
54065.1,F,60,3530.7,NA,Semi-Urban,67581.37,231.24,3,844.33,0,Inactive,1
169372.39,F,44,NA,Low,Rural,211715.49,875.12,2,814.95,0,Active,1
125577.71,F,18,4338.59,Low,Semi-Urban,179396.73,625.98,3,707.91,0,Active,1
32920.99,M,52,3767.65,Low,Rural,50647.67,550.88,4,723.59,0,Active,1
54311.97,F,54,NA,Low,Semi-Urban,83556.87,217.85,2,NA,0,Inactive,1
131030.9,F,41,3018.98,Low,Semi-Urban,187187,546.09,NA,688.07,0,Active,1
10747.61,M,18,1001.88,Low,Semi-Urban,14330.15,169.29,1,770.79,0,Inactive,1
124270.32,F,60,2530.63,Low,Semi-Urban,177529.03,587.87,3,716.88,0,Unpossessed,1
55281.21,M,55,5399.35,Low,Urban,85048.02,366.79,4,667.66,0,Active,1
57177.78,M,18,2496.87,Low,Semi-Urban,71472.22,406.33,4,750.24,0,Unpossessed,1
26849.89,M,30,2507.01,Low,Semi-Urban,38356.99,357.13,3,811.65,1,Unpossessed,1
103051.68,F,31,1576.66,Low,Rural,137402.24,424.07,2,774.83,0,Active,1
49672.96,M,44,1678.32,Low,Semi-Urban,70961.37,207.24,2,804.01,0,Unpossessed,1
83132.87,F,31,4639.53,Low,Semi-Urban,127896.72,452.37,NA,723.34,0,Unpossessed,1
115463.12,F,18,3892.11,Low,Semi-Urban,164947.32,896.72,2,778.47,0,Unpossessed,1
175056.07,M,23,4069.81,Low,Semi-Urban,250080.1,689.26,4,663.11,1,Unpossessed,1
178539.12,F,25,3992.53,Low,Semi-Urban,255055.89,747.49,2,855.22,0,Active,1
112059.84,M,38,2900.87,Low,Semi-Urban,160085.49,488.85,3,815.41,0,Unpossessed,1
49005.45,F,31,NA,Low,Urban,70007.79,317.25,2,680.45,0,Unpossessed,1
91481.81,F,60,3030.41,High,Semi-Urban,130688.3,654.24,1,793.76,0,Active,1
18324.94,F,53,1658.78,Low,Semi-Urban,26178.48,81.5,2,675.97,1,Unpossessed,1
97632.82,F,35,1686.85,Low,Semi-Urban,139475.46,860.97,3,886.78,0,Active,1
93629.99,F,18,1734.36,Low,Semi-Urban,133757.13,370.72,2,714.42,0,Inactive,1
50965.66,F,32,3783.59,Low,Semi-Urban,72808.08,511.61,2,683.25,0,Inactive,1
42717.3,M,30,5469.72,Low,Rural,61024.71,712.56,NA,671.06,0,Active,1
159672.42,F,52,685.51,Low,Semi-Urban,199590.53,491.65,3,770.08,0,Unpossessed,1
119159.22,F,30,3262.45,Low,Rural,183321.87,636.93,3,726.08,0,Active,1
99397.14,F,63,1705.2,Low,Rural,124246.43,467.55,2,789.55,0,Active,1
88383.65,M,58,2263.38,Low,Semi-Urban,117844.87,495.58,2,NA,0,Inactive,1
55635.89,M,58,1900.08,Low,Semi-Urban,79479.84,-999,4,724,0,Unpossessed,1
71034.17,M,39,NA,NA,Semi-Urban,101477.38,522.47,3,NA,0,Inactive,1
69121,F,53,1992.7,Low,Urban,106340,360.84,NA,736.85,0,Inactive,1
77874.13,F,37,1576.79,Low,Semi-Urban,103832.18,422.79,1,762.27,1,NA,1
106316.05,F,64,1701.86,Low,Semi-Urban,151880.07,429.78,4,732.32,0,Inactive,1
79046.1,M,43,1124.33,Low,Semi-Urban,112923,385.4,2,795.12,0,Inactive,1
30648.84,F,39,2202.67,Low,Semi-Urban,43784.05,240.31,2,692.05,0,Active,1
28424.93,M,18,2408.72,Low,Semi-Urban,37899.9,232.2,2,841.59,0,Inactive,1
11431.65,F,25,2075.73,Low,Semi-Urban,17587.16,209.76,1,698.81,1,Inactive,1
121948.25,M,48,NA,Low,Semi-Urban,187612.69,542.19,2,674.19,0,Unpossessed,1
87507.29,M,30,1787.23,Low,Semi-Urban,125010.41,402.98,NA,766.56,0,Inactive,1
45124.63,M,52,1993.54,Low,Urban,60166.17,416.62,2,794.52,0,Unpossessed,1
62921.1,F,51,2258.53,Low,Semi-Urban,96801.69,430.82,NA,666.54,0,Unpossessed,1
34019.13,F,22,1757.58,Low,Semi-Urban,45358.84,248.7,2,826.37,0,Active,1
13212.99,M,51,1174.2,Low,Semi-Urban,18875.7,101.26,4,686.15,0,Active,1
92561.48,F,18,6833.27,Low,Urban,123415.31,1484.45,2,801.76,0,Unpossessed,1
32306.51,M,21,944.71,Low,Rural,40383.14,260.04,2,750.87,0,Active,1
157178.42,F,29,4130.57,Low,Urban,241812.95,971.02,3,670.44,0,Active,1
24212.71,M,51,2379.54,Low,Semi-Urban,37250.33,360.87,2,732.89,0,Active,1
34796.29,M,65,1229.39,High,Semi-Urban,43495.36,212.26,1,805.89,1,Unpossessed,1
51718.89,F,61,1673.75,High,Semi-Urban,73884.13,575.06,NA,777.86,1,Unpossessed,1
111597.26,M,30,NA,Low,Semi-Urban,139496.58,662.44,2,851.39,1,Active,1
15908.55,M,20,1166.26,Low,Semi-Urban,19885.69,202.09,3,NA,0,Unpossessed,1
47109.73,M,51,2338.12,Low,Semi-Urban,72476.51,337.21,1,676.88,0,Active,1
205910.42,M,43,4951.42,Low,Urban,294157.75,726.12,3,695.96,0,NA,1
72199.65,F,50,2005.47,Low,Urban,96266.2,384.2,5,819.16,0,Unpossessed,1
82224.98,F,62,1404.54,High,Semi-Urban,102781.23,300.52,2,786.64,0,Inactive,1
98146,M,19,2419.32,Low,Semi-Urban,130861.34,357.69,2,768.57,0,Active,1
77208.47,F,54,2957.29,Low,Semi-Urban,110297.82,413.95,1,738.59,0,Inactive,1
98608.82,F,18,3079.56,Low,Rural,140869.75,623.62,2,740.36,0,Inactive,1
39634.02,M,24,1236.86,Low,Rural,49542.53,126.33,3,785.67,0,Active,1
57475.03,M,21,4857.73,Low,Urban,88423.13,806.65,3,726.46,1,Active,1
17775.15,M,18,1738.93,Low,Semi-Urban,27346.39,139.9,3,662.4,0,Unpossessed,1
25247.56,M,42,2097.61,NA,Semi-Urban,36067.94,263.68,2,696.82,0,Unpossessed,1
71924.48,M,57,1054.61,Low,Semi-Urban,110653.04,406.26,4,660.01,0,Active,1
65386.52,F,18,2070.17,Low,Semi-Urban,87182.03,355.26,2,791.33,0,Unpossessed,1
37570.4,F,54,1572.24,Low,Semi-Urban,53672,253.15,2,852.73,0,Unpossessed,1
38249.95,M,33,1375.47,Low,Rural,54642.78,417.69,2,809.55,0,Active,1
48198.22,F,27,1406.88,Low,Urban,68854.6,283.96,2,803.14,0,Unpossessed,1
51626.63,F,32,2121.28,Low,Semi-Urban,79425.59,731.97,4,699.4,0,Inactive,1
38636.83,F,60,960.18,Low,Semi-Urban,51515.77,288.39,3,797.55,0,Unpossessed,1
103634.34,F,50,1308.25,Low,Semi-Urban,148049.05,531.55,3,759.08,1,Inactive,1
217819.38,F,25,3415.08,Low,Urban,311170.54,828.67,3,NA,0,Unpossessed,1
28144.46,F,55,1680.07,NA,Semi-Urban,37525.95,190.3,2,830.12,0,Active,1
59132.37,M,58,2118.02,Low,Semi-Urban,78843.16,591.73,3,787.99,0,Unpossessed,1
139307.6,F,54,7443.17,Low,Semi-Urban,214319.39,554.6,2,743.35,0,NA,1
141145.82,F,64,NA,High,Rural,188194.43,659.88,2,791.96,0,Unpossessed,0
28397.73,M,58,2755.98,Low,Semi-Urban,40568.18,203.44,1,651.03,0,Active,1
53954.2,F,32,1948.86,Low,Rural,83006.46,460.59,NA,702.78,0,Unpossessed,1
84809.49,F,61,1995.85,Low,Semi-Urban,121156.42,375.7,2,672.7,0,Active,1
83585.64,F,65,3609.83,High,Urban,111447.52,438,2,857.9,1,Unpossessed,1
38604.44,F,56,2272.29,Low,Semi-Urban,59391.45,275.34,2,745.19,0,Active,1
24305.41,F,18,1652.29,Low,Rural,37392.94,467.41,3,716.65,0,Inactive,1
72617.21,F,62,1414.11,Low,Rural,111718.78,407.3,2,666.57,0,Inactive,1
11522.72,F,32,1510.98,Low,Semi-Urban,16461.03,130.36,3,778.25,0,Unpossessed,1
58836.01,F,57,2899.05,NA,Rural,84051.44,418.45,2,714.78,0,Inactive,1
39742.53,M,22,2239.36,Low,Semi-Urban,56775.05,291.55,2,869.88,0,Inactive,1
71385.64,M,55,3092.14,Low,Semi-Urban,101979.48,600.58,1,688.3,0,Inactive,1
95419.93,F,58,2165.57,Low,Rural,136314.19,651.76,2,825.29,0,NA,1
37529.65,F,54,1978.99,Low,Semi-Urban,57737.93,NA,2,677.9,0,Unpossessed,1
107984.58,F,33,934.58,Low,Rural,166130.12,508.19,4,672.57,0,Active,1
57007.87,M,29,3538.08,Low,Semi-Urban,87704.42,683.95,3,674.74,0,Inactive,1
35121.48,F,27,987.91,Low,Semi-Urban,54033.04,463.9,2,710.74,0,Unpossessed,1
27394.93,F,48,2115.85,Low,Semi-Urban,42146.05,331.31,2,685.08,0,Unpossessed,1
12864.12,M,26,1015.7,Low,Semi-Urban,18377.31,175.68,NA,801.32,1,Inactive,1
98656.2,F,55,1737.42,Low,Semi-Urban,123320.25,360.51,1,792.01,0,Unpossessed,1
102319.45,F,46,4957.59,Low,Urban,157414.54,713.09,2,673.02,0,Unpossessed,1
80387.07,F,65,1228.93,High,Semi-Urban,114838.67,324.94,NA,786.9,0,Inactive,0
68231.62,M,30,3064.08,NA,Semi-Urban,85289.52,464.24,2,834.55,0,Active,1
72519.47,F,36,NA,NA,Semi-Urban,103599.24,314.31,2,686.49,1,Active,1
134484.33,M,41,3716.91,Low,Semi-Urban,192120.47,677.24,2,833.18,0,Inactive,1
26900.57,M,32,1677.46,NA,Rural,38429.39,401.74,1,650.51,0,Inactive,1
52215.4,F,40,NA,Low,Semi-Urban,69620.54,NA,NA,806.57,0,Inactive,1
25679.35,M,51,2109.45,Low,Semi-Urban,36684.78,274.3,4,679.18,1,Active,1
40201.58,F,42,2844.41,Low,Semi-Urban,61848.59,652.18,3,743.38,0,Active,1
64003.78,F,23,2645.74,Low,Semi-Urban,80004.73,745.73,2,755.4,0,Active,1
94323.29,M,52,1511.15,Low,Semi-Urban,134747.56,375.17,2,682.88,0,Unpossessed,1
115516.19,M,54,1277.76,Low,Semi-Urban,165023.13,481.3,4,730.78,0,Inactive,1
126804.03,F,62,2137.52,High,Rural,169072.04,608.33,1,836.23,0,Active,1
141281.46,M,18,2583.08,Low,Semi-Urban,188375.28,536.26,2,850,1,Unpossessed,1
99290.04,M,56,2514.73,Low,Rural,141842.91,508.63,4,734.93,0,Active,1
61608.99,M,63,1620.84,High,Semi-Urban,77011.24,281.12,1,880.05,0,Unpossessed,1
57854.45,F,18,1398.33,Low,Semi-Urban,72318.06,-999,2,788.65,0,NA,1
18801.16,M,28,1307.27,Low,Semi-Urban,25068.21,211.23,4,757.93,1,Unpossessed,1
87817.93,F,60,1952.87,Low,Semi-Urban,109772.41,490.83,2,761.59,0,Unpossessed,1
73360.1,F,27,NA,Low,Semi-Urban,91700.13,288.51,3,779.35,0,Active,1
37541.26,M,61,2055.7,Low,Semi-Urban,46926.57,137.07,2,761.55,0,NA,1
26906.96,F,61,NA,Low,Rural,41395.32,288.44,2,682.32,0,Active,-999
41064.86,F,64,2437.83,Low,Semi-Urban,63176.71,344.4,1,697,0,Unpossessed,1
121713.1,F,41,2561.28,Low,Semi-Urban,152141.37,484.15,1,NA,0,Unpossessed,1
37168.22,F,18,2311.39,Low,Semi-Urban,53097.46,344.14,3,658.62,0,Inactive,1
35228.82,F,58,2610.02,Low,Semi-Urban,50326.89,266.65,2,684.47,1,Inactive,1
52391.2,F,52,NA,Low,Semi-Urban,80601.84,381.89,3,738.72,0,Unpossessed,1
78720.42,F,23,2374.18,Low,Semi-Urban,112457.74,455.87,2,805.49,0,Unpossessed,1
53734.66,F,37,3038.12,Low,Semi-Urban,76763.8,346.14,2,689.05,0,Inactive,1
48095.77,F,46,4223.76,Low,Urban,68708.25,703.89,4,NA,0,Inactive,1
22639.88,F,38,2116.02,Low,Rural,34830.59,385.29,2,NA,1,Inactive,1
36408.1,F,29,1252.11,Low,Semi-Urban,45510.13,316.88,3,781.94,1,Unpossessed,-999
19190.64,F,27,943.8,Low,Rural,25587.52,132.73,2,767.28,1,Inactive,1
76813.06,M,18,2338.45,Low,Rural,109732.94,526.06,3,662.54,0,Inactive,1
55051.64,F,43,3077.9,Low,Semi-Urban,68814.55,229.24,1,792.97,0,Inactive,1
47440.91,F,30,3220.46,NA,Semi-Urban,67772.73,504.11,2,683.28,0,Unpossessed,1
55382.97,F,39,2732.09,Low,Semi-Urban,85204.57,428.73,2,702.35,0,Unpossessed,1
76849.52,M,23,2076.08,Low,Semi-Urban,109785.03,627.76,1,857.93,0,Inactive,1
26937.41,M,18,1370.23,Low,Semi-Urban,38482.01,225.56,2,723.48,0,Active,1
94543.18,F,42,1411.49,Low,Semi-Urban,126057.57,473.55,2,819.32,0,Inactive,1
20064.26,M,18,1630.6,Low,Rural,30868.09,155.26,4,713.09,0,Active,1
75386.36,M,57,NA,Low,Rural,107694.8,563.65,2,727.34,0,Active,1
73187.37,F,18,2457.45,Low,Semi-Urban,104553.38,497.14,2,772.04,0,Active,1
74818.16,F,39,3423.9,Low,Semi-Urban,106883.08,342.12,5,657.25,0,Unpossessed,1
48614.49,F,48,NA,Low,Semi-Urban,64819.32,NA,3,782.89,1,Active,1
90358.25,M,25,1331.61,Low,Rural,112947.81,501.88,4,NA,0,Active,1
141404.14,M,38,4548.88,Low,Urban,188538.86,533.34,2,889.71,0,Unpossessed,1
50619.6,M,33,2099.88,Low,Urban,72313.71,476.43,2,713.99,1,Inactive,1
52785.43,M,33,NA,Low,Semi-Urban,81208.36,303.91,4,706.05,0,Inactive,1
62892.31,M,18,NA,Low,Rural,89846.16,411.17,3,671.13,1,Active,1
59594.24,M,56,1387.51,Low,Semi-Urban,91683.45,251.02,4,726.79,0,Inactive,1
261486.85,F,64,NA,High,Semi-Urban,326858.56,-999,NA,852.42,0,NA,1
68461.01,M,18,3402.04,Low,Semi-Urban,105324.63,433.98,3,699.29,0,Active,1
49553.97,M,18,895.61,Low,Semi-Urban,61942.46,330.32,4,846.91,0,Active,1
98948.72,F,62,2577.25,Low,Semi-Urban,141355.31,461.03,2,677.77,0,Unpossessed,1
65110.75,F,18,1332.51,Low,Semi-Urban,81388.44,289.36,3,829.35,1,Inactive,1
63859.4,M,45,2244.45,Low,Semi-Urban,79824.25,369.31,2,811.63,0,Unpossessed,1
38493.65,F,32,3534.04,Low,Semi-Urban,54990.93,269.2,4,717.42,0,Inactive,1
15433.96,M,24,2107.6,NA,Semi-Urban,22048.51,257.14,3,742.49,0,Inactive,1
5453.99,M,40,695.14,Low,Semi-Urban,7791.41,-999,NA,705.31,0,Active,1
52356.23,F,32,2751.92,Low,Semi-Urban,74794.62,337.37,NA,707.9,0,Inactive,1
30338.57,F,35,1657.87,Low,Urban,37923.21,184.75,3,800.99,0,Active,1
196010.32,M,57,3690.05,Low,Semi-Urban,280014.74,963.75,2,762.63,0,Active,1
28846.97,F,60,NA,High,Semi-Urban,36058.71,207.52,2,833.06,0,Active,0
103653.52,M,18,2489,Low,Urban,148076.45,791.74,2,877.36,0,Unpossessed,1
118680.14,F,22,1991.07,Low,Urban,139623.69,367.06,2,859.44,0,Active,0
116970.75,F,36,3731.69,Low,Rural,155961,836.36,1,NA,0,Inactive,1
59400.03,M,61,1613.61,High,Semi-Urban,74250.04,383.78,2,776.76,0,Unpossessed,0
35956.07,M,30,1898.69,Low,Semi-Urban,44945.09,167.04,1,780.88,1,Active,1
22963.15,F,64,5382.45,Low,Semi-Urban,35327.93,391.19,4,695.65,0,Unpossessed,1
21195.44,M,65,500.3,High,Semi-Urban,32608.37,170.68,1,703.07,0,Active,0
197892.9,F,20,2788.18,Low,Rural,282704.15,998.67,2,805.4,1,Inactive,1
54606.58,F,62,1864.5,Low,Semi-Urban,68258.22,342.05,2,833.92,0,Inactive,1
35223.77,F,18,1610.27,Low,Semi-Urban,44029.71,246.72,3,757.35,1,Active,1
104129.69,F,53,2222.27,NA,Semi-Urban,138839.59,429.64,4,844.37,0,Active,1
101436.5,M,23,1286.28,Low,Semi-Urban,156056.16,482.34,4,665.14,0,Active,1
74728.29,F,25,NA,Low,Semi-Urban,106754.7,929.06,NA,797.46,0,Inactive,1
36469.71,F,18,2494.11,Low,Urban,56107.24,334.88,3,743.86,0,Unpossessed,1
115536.41,M,34,1871.37,Low,Rural,144420.51,522.35,2,773.19,0,Inactive,1
14492.36,F,48,1233.47,Low,Semi-Urban,22295.94,146.17,2,651.57,0,Unpossessed,1
47686.93,F,63,NA,Low,Urban,68124.18,519.3,3,737.68,0,Active,1
24201.12,F,21,737.77,Low,Semi-Urban,30251.4,185.42,2,819.83,0,Active,1
25773,M,21,2419.39,Low,Semi-Urban,36818.57,217.43,4,722.75,0,Inactive,1
25560.76,M,46,1855.41,Low,Semi-Urban,36515.37,190.83,1,736.8,0,Active,1
48696.65,F,27,3373.64,Low,Semi-Urban,74917.92,705.1,NA,722.08,0,Unpossessed,1
26802.21,M,47,2057.69,Low,Urban,41234.17,252.07,3,652.04,0,Unpossessed,1
83887.46,M,64,1820.73,High,Urban,104859.33,333.32,1,880,0,Unpossessed,1
52794.53,F,37,4180.25,Low,Urban,70392.71,256.1,3,836,0,Unpossessed,1
49962.32,M,18,3074.32,NA,Semi-Urban,71374.74,307.5,1,786.83,0,Active,1
45578.68,M,61,1443.43,Low,Semi-Urban,65112.4,305.1,NA,761.3,0,Unpossessed,1
125798.43,M,53,5666.31,Low,Semi-Urban,179712.04,514.91,NA,842.84,0,Active,1
46472.05,F,19,NA,Low,Semi-Urban,66388.65,363.7,NA,NA,0,Unpossessed,1
52830.27,M,54,NA,NA,Semi-Urban,75471.82,435.09,4,NA,0,Inactive,1
26188.68,M,39,1520.28,Low,Semi-Urban,40290.28,246.55,1,684.95,0,Unpossessed,1
11739.98,M,57,NA,Low,Semi-Urban,18061.5,185.51,4,662.4,0,Active,1
59556.5,M,54,3988.72,Low,Semi-Urban,91625.38,293.83,2,705.67,0,Inactive,1
86030.29,F,65,1634.61,High,Rural,122900.41,358.81,2,843.57,0,Unpossessed,1
48960.08,M,53,743.51,Low,Semi-Urban,69942.97,207.46,2,857.45,0,Inactive,1
65509.63,M,56,1017.09,Low,Semi-Urban,100784.05,326.93,NA,746.42,0,Active,1
126721.41,M,57,1084.17,Low,Rural,194956.01,523.75,NA,NA,1,Inactive,1
27418.92,M,47,1717.58,Low,Semi-Urban,42182.95,272.63,2,662.59,0,Unpossessed,1
31282.34,F,46,1901.89,Low,Semi-Urban,48126.67,254.56,1,720.05,0,Active,1
13848.41,M,65,1395.43,High,Semi-Urban,19783.44,196.15,1,876.71,0,Unpossessed,0
8639.43,M,20,NA,Low,Semi-Urban,13291.43,75.7,3,715.47,0,Inactive,1
98416.16,F,62,3225.61,Low,Semi-Urban,123020.2,631.28,1,817.55,0,Inactive,1
64643.4,M,26,1773.7,Low,Semi-Urban,92347.72,285.21,1,650.71,0,NA,1
44330.78,M,55,3268.86,Low,Semi-Urban,68201.2,307,2,718.81,0,Active,1
67210.05,M,60,2724.53,Low,Semi-Urban,103400.07,293.33,1,707.74,0,NA,1
52139.57,M,36,2415.7,Low,Semi-Urban,74485.1,378.63,4,699.22,1,Inactive,1
63082.16,M,24,1723.5,Low,Semi-Urban,84109.55,341.5,2,807.4,1,Active,1
148524.14,F,23,NA,Low,Urban,198032.19,824.27,4,826.14,0,Active,1
27873.56,F,33,1363.33,Low,Semi-Urban,39819.37,210.24,NA,742.65,0,Unpossessed,1
53491.84,M,41,3107.93,Low,Urban,76416.92,550.08,NA,710.27,0,Inactive,1
85759.06,F,19,NA,Low,Semi-Urban,114345.41,571.96,5,816.96,0,Active,1
30324.04,M,48,NA,Low,Semi-Urban,43320.06,330.95,NA,784.39,0,Inactive,1
67675.9,M,35,2033.48,Low,Semi-Urban,84594.87,286.37,2,792.76,1,Active,1
113508.03,F,24,4863.53,NA,Rural,162154.33,469.53,2,856.28,0,Inactive,1
113889.99,F,18,1916.99,Low,Rural,162699.99,482.1,2,654.64,0,NA,1
31097.27,F,60,2423.21,NA,Semi-Urban,38871.59,215.71,2,876.57,0,Active,0
37158.97,F,24,2842.37,Low,Semi-Urban,46448.71,436.64,3,821.34,1,Inactive,1
17455.9,M,57,NA,Low,Semi-Urban,21819.87,118.2,2,NA,0,Unpossessed,1
62197.89,F,23,2659.04,Low,Rural,88854.13,687.37,2,778.67,0,Inactive,1
129035.98,M,52,NA,Low,Semi-Urban,184337.11,555.4,3,698.78,0,NA,1
134847.78,F,24,NA,Low,Rural,207458.13,605.3,2,703.49,0,Inactive,-999
51497.82,M,39,3044.74,Low,Semi-Urban,79227.41,412.04,1,667.38,0,Unpossessed,1
86440.16,F,44,3336.84,Low,Rural,123485.95,369.62,1,815.81,0,Active,1
69411.87,F,58,6084.12,Low,Semi-Urban,92549.16,464.45,1,858.21,0,Inactive,1
198656.23,F,40,3332.73,Low,Semi-Urban,264874.97,1045.84,3,789.66,0,Inactive,1
27841.44,M,18,3761.58,Low,Urban,39773.49,256.58,2,688.51,0,Active,1
22421.51,F,43,NA,Low,Rural,32030.73,168.8,3,728.49,0,Active,1
25674.22,M,25,2546.24,Low,Semi-Urban,36677.46,358.71,3,726.91,0,Inactive,1
35767.11,M,18,1706.4,Low,Semi-Urban,44708.89,219.06,2,873.18,1,Active,1
104376.3,M,31,1350.56,Low,Semi-Urban,122795.65,361.35,4,868.03,0,Active,0
25153.94,F,50,1351.62,Low,Semi-Urban,33538.58,279.89,3,801.01,0,Active,1
40943.51,F,65,1921.05,High,Rural,58490.73,337.92,1,779.33,1,Active,1
75497.33,M,42,2012.68,Low,Semi-Urban,107853.33,321.98,2,697.95,1,Unpossessed,1
105709.12,F,55,NA,Low,Semi-Urban,162629.41,495.95,4,709.14,0,Inactive,1
41170.63,F,57,NA,Low,Urban,63339.43,516.25,2,728.31,0,Active,1
61464.16,M,50,NA,NA,Semi-Urban,81952.21,597.93,2,752.21,0,Inactive,1
40201.66,M,65,NA,High,Rural,57430.95,230.02,2,799.12,0,Inactive,1
43742.56,F,52,NA,Low,Semi-Urban,67296.25,507.87,2,738.67,0,Active,1
12176.92,F,65,1490.12,High,Semi-Urban,18733.73,196.5,2,737.33,1,Inactive,1
79241.3,M,45,1500.72,Low,Semi-Urban,113201.85,436.9,1,854.29,0,Active,1
95486.55,M,38,NA,Low,Rural,146902.38,1111.92,3,685.24,0,Unpossessed,1
48985.04,M,62,1036.71,High,Semi-Urban,65313.38,346.19,2,768.72,0,Active,1
62689.57,F,37,1860.48,Low,Semi-Urban,83586.09,485.09,2,770.08,0,Inactive,1
91924.51,M,63,6239.24,Low,Semi-Urban,141422.33,418.81,NA,722.18,0,Unpossessed,1
107801.28,M,25,2691.42,Low,Semi-Urban,165848.12,515.65,3,672.8,0,Active,1
45114.19,F,65,2394.25,High,Semi-Urban,60152.25,288.75,2,811.89,0,NA,1
77674.41,M,61,1017.64,High,Semi-Urban,110963.44,342,2,724.63,0,Active,-999
47818.95,F,40,6457.12,Low,Semi-Urban,68312.79,429.39,4,689.56,0,Unpossessed,1
47051.69,M,60,3390.2,NA,Semi-Urban,67216.7,NA,2,712.64,0,Inactive,1
186711.72,M,64,2996.57,Low,Urban,248948.96,904.91,2,871.73,0,Inactive,1
73753.9,M,62,2202.48,Low,Semi-Urban,105362.71,800.09,2,663.7,0,Active,1
55075.1,F,52,NA,Low,Semi-Urban,84730.93,405.87,3,685.45,0,Inactive,1
87322.52,M,61,NA,Low,Semi-Urban,124746.46,631.11,NA,712.07,1,Unpossessed,1
44338.83,F,63,1832.9,High,Semi-Urban,63341.18,302.96,2,682.93,0,Inactive,0
68610.68,M,63,2364.22,NA,Semi-Urban,85763.35,300.4,1,810.46,0,Active,0
30940.25,M,35,2291,Low,Semi-Urban,44200.36,158.43,3,800.41,0,Inactive,1
42913.67,M,65,5205.59,High,Urban,57218.23,577.94,2,828,1,NA,1
89594.3,F,20,NA,Low,Rural,127991.86,1122.19,2,742.36,0,Inactive,1
62100.32,F,62,NA,High,Urban,82800.42,399.25,2,870.22,0,Unpossessed,1
141470.82,F,18,NA,Low,Semi-Urban,202101.17,727.24,2,727.48,0,Active,1
17270.61,M,19,1676.94,Low,Semi-Urban,26570.17,139.72,1,676.3,0,Active,1
47611.85,F,31,2540.23,Low,Semi-Urban,59514.81,292.16,1,796.23,0,Inactive,1
50513.36,M,44,1312.23,Low,Rural,77712.86,282.34,4,674.24,1,Active,1
7100.34,F,50,NA,Low,Rural,10143.34,104.38,2,671.79,1,Unpossessed,1
70805.24,F,51,2473.02,Low,Semi-Urban,94406.98,306.08,1,778.44,0,Unpossessed,1
74057.27,F,58,1639.95,Low,Semi-Urban,113934.26,434.03,NA,686.27,1,Inactive,1
161442.16,F,35,5854.24,Low,Semi-Urban,230631.65,592.04,4,653.13,0,Inactive,1
95394.49,F,58,2387.75,Low,Semi-Urban,136277.84,410.77,2,760.02,0,Inactive,1
32109.28,M,18,1578.65,Low,Semi-Urban,49398.89,386.09,2,704.02,0,Inactive,1
23658.9,F,64,2003.22,High,Semi-Urban,33798.43,251.45,2,658.1,0,Inactive,1
96748.54,F,28,4141.79,Low,Semi-Urban,148843.9,768.78,3,723.92,1,Unpossessed,1
73517.96,F,30,3233.89,Low,Semi-Urban,105025.66,448.08,2,870.89,0,Unpossessed,1
74357.79,F,18,3431.33,Low,Semi-Urban,106225.42,895.65,2,667.17,0,Active,1
24918.62,M,53,1951.14,Low,Semi-Urban,33224.83,156.82,3,808.19,1,Active,1
74088.47,F,59,4332.99,NA,Semi-Urban,113982.26,562.6,3,672.59,0,Inactive,1
138410.11,F,34,11847.07,Low,Semi-Urban,197728.73,815.05,2,828.53,0,Unpossessed,1
54693.87,F,27,1679.18,Low,Semi-Urban,78134.1,426.96,3,682.37,1,Active,1
24999.62,M,64,3335.4,Low,Semi-Urban,38460.96,204.91,2,711.99,0,Active,1
